"Date","Total Listings","Active Listings","Booked Listings","Available Listing Nights","Demand (Nights)","Revenue","Occupancy","ADR","RevPAR","Avg. Stay Length"
"2024-01-01","4764","4235","4068","93384","68291","20410582","0.7312922984665468","298.88","218.57","5.48"
"2024-02-01","4578","4188","4039","83931","70257","20513178","0.8370804589484219","291.97","244.41","5.36"
"2024-03-01","4704","4219","3968","98268","75080","22536411","0.7640330524687589","300.17","229.34","5.12"
"2024-04-01","5168","4349","3961","98467","60597","16409325","0.6154041455513014","270.79","166.65","4.66"
"2024-05-01","5138","4196","3789","97913","56325","15043600","0.5752555840388917","267.09","153.64","4.34"
"2024-06-01","4827","3982","3696","95184","59279","16229994","0.6227832408808203","273.79","170.51","4.61"
"2024-07-01","5162","4053","3854","96736","64777","17541425","0.6696266126364538","270.8","181.33","4.87"
"2024-08-01","5187","4097","3900","101068","64656","17861021","0.6397277080777298","276.25","176.72","4.66"
"2024-09-01","5284","4082","3648","94734","52623","13364438","0.5554816644499335","253.97","141.07","4.52"
"2024-10-01","5234","4090","3840","95909","55981","14791514","0.5836887049182037","264.22","154.22","4.55"
"2024-11-01","5281","4283","4025","96073","62924","17157781","0.6549602906123468","272.67","178.59","4.62"
"2024-12-01","5432","4795","4626","104663","72130","23091777","0.6891642700858948","320.14","220.63","4.92"